Condition,Voltage,Current,Temperature
0,18.94972312305411,400.30181742182685,58.93582848705638
0,16.675597265306966,400.62057254467305,62.09721936760665
0,17.062067491029342,397.2434873721148,47.70518245842942
0,15.83952190746515,396.07485653140384,58.83408456091959
0,16.708673323875246,396.97832185062634,60.67969133103149
1,0.8906318904533168,4000.9399385011416,123.64935605077355
1,0.8979771136980343,3987.295669875974,130.61031234290886
1,0.907786712592827,3991.0824327310224,127.4213556693163
1,0.8987283180134761,4007.474116704444,116.7632756192566
1,0.8843145779918631,3965.4957384711915,118.6093411455428
